"㐱","5","珍","5"
"丌","3","亦","2"
"丏","5","沔","4"
"丩","3","收","4"
"丿","1","九","2"
"乃","3","仍","3"
"乇","3","托","4"
"亏","4","污","4"
"亘","6","",""
"亠","2","奕","2"
"亶","12","壇","4"
"亻","2","信","3"
"亼","3","",""
"冋","5","炯","5"
"冖","2","冗","3"
"冘","4","忱","4"
"刂","2","劉","15"
"勹","2","的","3"
"匚","2","匡","3"
"厂","2","厓","3"
"厓","7","涯","4"
"厶","3","私","6"
"厷","5","雄","6"
"叕","8","綴","7"
"叚","9","瑕","5"
"号","6","號","7"
"咅","8","剖","9"
"咢","9","愕","5"
"咼","9","渦","4"
"喿","13","燥","5"
"囗","3","國","4"
"囟","6","",""
"圂","10","",""
"堇","11","謹","8"
"夌","8","凌","3"
"复","8","復","4"
"夬","4","快","4"
"夲","5","",""
"宀","3","家","4"
"寽","7","將","5"
"尞","12","遼","1"
"尢","3","尤","4"
"尨","7","",""
"巠","7","脛","5"
"广","3","廣","1"
"弋","3","戈","1"
"彑","5","互","2"
"彖","10","緣","9"
"彡","3","衫","7"
"彳","3","徐","4"
"忄","3","怡","4"
"戹","6","",""
"扌","3","托","4"
"攵","4","牧","5"
"敄","9","",""
"斿","9","",""
"昝","9","",""
"枼","10","葉","5"
"欮","11","",""
"气","5","汽","4"
"氵","3","汽","1"
"灬","4","杰","5"
"熏","14","薰","5"
"爿","5","壯","1"
"牜","4","牡","5"
"犭","3","狽","1"
"猋","12","",""
"甹","8","聘","7"
"畺","13","彊","4"
"畾","15","壘","1"
"疌","8","捷","4"
"疒","5","病","1"
"矞","12","橘","5"
"礻","5","神","1"
"禺","9","隅","4"
"粦","13","憐","4"
"粲","13","燦","5"
"糹","8","絲","1"
"翏","11","膠","5"
"耑","9","惴","4"
"臿","9","插","4"
"艹","3","草","1"
"菐","13","樸","5"
"虒","10","遞","1"
"衤","5","裙","1"
"訁","7","說","1"
"豊","13","禮","5"
"豩","14","",""
"豸","7","豹","1"
"賏","14","嬰","1"
"辶","3","",""
"镸","8","肆","1"
"阝","3","陳","1"
"隹","8","唯","4"
"雚","17","懽","4"
"雩","12","",""
"霝","14","靈","1"
"飠","8","飢","1"
"髟","10","髮","1"
"黽","13","繩","7"
